model/task,physical-en,physical-th,psychological_en,psychological_th,social_en,social_th,spatial_en,spatial_th,temporal_en,temporal_th,average_en,average_th,average
sailor2 1b,0.1967,0.2767,0.6067,0.7133,0.6633,0.6233,0.5033,0.4933,0.45,0.5733,0.484,0.53598,0.5076272727
sailor2 3b,0.2433,0.26,0.4633,0.6367,0.7533,0.6767,0.4767,0.5,0.5133,0.61,0.48998,0.53668,0.5112072727
sailor2 8b,0.3133,0.2067,0.61,0.78,0.7467,0.7367,0.6067,0.51,0.55,0.63,0.56534,0.57268,0.5686763636
sailor2 14b,0.2333,0.2167,0.5067,0.6633,0.7933,0.71,0.6467,0.5,0.5533,0.65,0.54666,0.548,0.5472690909
Llama-3.2-1B,0.2467,0.2967,0.6167,0.6333,0.7133,0.5233,0.5233,0.5,0.49,0.51,0.518,0.49266,0.5064818182
Llama-3.2-1B-Instruct,0.2633,0.26,0.8733,0.9333,0.6333,0.5433,0.5633,0.4833,0.5,0.49,0.56664,0.54198,0.5554309091
Llama-3.2-3B,0.2933,0.2733,0.6833,0.63,0.7867,0.5367,0.5233,0.4767,0.4933,0.5567,0.55598,0.49468,0.5281163636
Llama-3.2-3B-Instruct,0.35,0.3067,0.9133,0.6333,0.75,0.57,0.56,0.49,0.5433,0.53,0.62332,0.506,0.5699927273
typhoon2-t1-3b,0.28,0.2833,0.7733,0.8833,0.7933,0.6867,0.53,0.5267,0.5233,0.59,0.57998,0.594,0.5863527273
typhoon2-1b,0.25,0.2633,0.61,0.7167,0.7267,0.6433,0.4967,0.5167,0.5067,0.57,0.51802,0.542,0.52892
typhoon2-1b-instruct,0.2967,0.2567,0.6133,0.6867,0.71,0.64,0.5433,0.5067,0.4733,0.5633,0.52732,0.53068,0.5288472727
typhoon2-3b,0.2567,0.2733,0.8433,0.7867,0.7867,0.7167,0.51,0.51,0.5067,0.5967,0.58068,0.57668,0.5788618182
typhoon2-3b-instruct,0.3067,0.3,0.7833,0.9233,0.7967,0.6867,0.54,0.52,0.5233,0.58,0.59,0.602,0.5954545455
aya-101,0.9033,0.6533,0.5967,0.36,0.7267,0.64,0.5333,0.5,0.5433,0.5667,0.66066,0.544,0.6076327273
gemma-2-2b,0.2567,0.2367,0.3867,0.7433,0.7733,0.6933,0.5433,0.4767,0.5433,0.5233,0.50066,0.53466,0.5161145455
gemma-2-2b-it,0.33,0.26,0.8233,0.6867,0.8,0.71,0.62,0.4733,0.5533,0.4933,0.62532,0.52466,0.5795654545
gemma-2-9b,0.2067,0.2833,0.6567,0.6,0.7733,0.7033,0.61,0.5,0.5333,0.5967,0.556,0.53666,0.5472090909
gemma-2-9b-it,0.51,0.3567,0.8267,0.73,0.8167,0.6967,0.74,0.5,0.6667,0.5767,0.71202,0.57202,0.6483836364
DeepSeek-R1-Distill-Llama-8B,0.2667,0.3133,0.79,0.91,0.7633,0.5267,0.6667,0.5,0.5633,0.5167,0.61,0.55334,0.5842454545
DeepSeek-R1-Distill-Qwen-7B,0.2767,0.31,0.6433,0.8933,0.64,0.5567,0.7433,0.5033,0.5333,0.4367,0.56732,0.54,0.5549018182
OLMo-2-1124-7B,0.29,0.2333,0.6233,0.9367,0.7967,0.53,0.5833,0.5,0.58,0.4633,0.57466,0.53266,0.5555690909
,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
llma3.2-instruct-merged-typhoonsame,0.2867,0.3433,0.92,0.6833,0.7767,0.61,0.5367,0.55,0.5267,0.5333,0.60936,0.54398,0.5796418182
typhoon2-3b-instruct,0.3067,0.3,0.7833,0.9233,0.7967,0.6867,0.54,0.52,0.5233,0.58,0.59,0.602,0.5954545455
Llama-3.2-3B-Instruct,0.35,0.3067,0.9133,0.6333,0.75,0.57,0.56,0.49,0.5433,0.53,0.62332,0.506,0.5699927273
qwen-2.5-32b,0.89,0.83,0.56,0.55,0.97,0.87,0.85,0.81,0.92,0.9,0.838,0.792,0.8170909091
llama-3.3-70b-versatile,0.83,0.83,0.6,,0.98,0.91,0.88,0.84,0.92,0.84,,,